"Wijken en buurten","Regioaanduiding Gemeentenaam (naam)","Soort regio (omschrijving)","Codering (code)","Indelingswijziging gemeente, wijk, buurt (code)","Bevolking Aantal inwoners (aantal)","Bevolking Geslacht
Mannen (aantal)","Geslacht Vrouwen (aantal)","Leeftijdsgroepen 0 tot 15 jaar (aantal)","Leeftijdsgroepen 15 tot 25 jaar (aantal)","Leeftijdsgroepen 25 tot 45 jaar (aantal)","Leeftijdsgroepen 45 tot 65 jaar (aantal)","Leeftijdsgroepen 65 jaar of ouder (aantal)","Burgerlijke staat Ongehuwd (aantal)","Burgerlijke staat Gehuwd (aantal)","Burgerlijke staat Gescheiden (aantal)","Burgerlijke staat Verweduwd (aantal)","Bevolking naar herkomst Herkomstland
Nederland (aantal)","Herkomstland Europa (exclusief Nederland) (aantal)","Herkomstland Buiten Europa (aantal)","Geboren in Nederland Nederland (aantal)","Geboren in Nederland Europa (exclusief Nederland) (aantal)","Geboren in Nederland Buiten Europa (aantal)","Geboren buiten Nederland Europa (exclusief Nederland) (aantal)","Geboren buiten Nederland Buiten Europa (aantal)","Geboorte en sterfte Geboorte totaal (aantal)","Geboorte en sterfte Geboorte relatief (per 1 000 inwoners)","Geboorte en sterfte Sterfte totaal (aantal)","Geboorte en sterfte Sterfte relatief (per 1 000 inwoners)","Particuliere huishoudens Huishoudens totaal (aantal)","Particuliere huishoudens Eenpersoonshuishoudens (aantal)","Particuliere huishoudens Huishoudens zonder kinderen (aantal)","Particuliere huishoudens Huishoudens met kinderen (aantal)","Particuliere huishoudens Gemiddelde huishoudensgrootte (aantal)","Bevolking Bevolkingsdichtheid (aantal inwoners per km²)","Wonen Woningvoorraad (aantal)","Gemiddelde WOZ-waarde van woningen (x 1 000 euro)","Wonen Woningen naar type
Percentage eengezinswoning (%)","Woningen naar type Percentage meergezinswoning (%)","Woningen naar bewoning Percentage bewoond (%)","Woningen naar bewoning Percentage onbewoond (%)","Woningen naar eigendom Koopwoningen (%)","Woningen naar eigendom Huurwoningen
Huurwoningen totaal (%)","Huurwoningen In bezit woningcorporatie (%)","Huurwoningen In bezit overige verhuurders (%)","Woningen naar eigendom Eigendom onbekend (%)","Woningen naar bouwjaar Bouwjaar voor 2000 (%)","Woningen naar bouwjaar Bouwjaar vanaf 2000 (%)","Energie Gemiddelde elektriciteitslevering
Gemiddelde elektriciteitslevering totaal (kWh)","Gemiddelde elektriciteitslevering Naar woningtype
Appartement (kWh)","Naar woningtype Tussenwoning (kWh)","Naar woningtype Hoekwoning (kWh)","Naar woningtype Twee-onder-één-kap-woning (kWh)","Naar woningtype Vrijstaande woning (kWh)","Naar eigendom Huurwoning (kWh)","Naar eigendom Eigen woning (kWh)","Gemiddeld aardgasverbruik Gemiddeld aardgasverbruik totaal (m³)","Gemiddeld aardgasverbruik Naar woningtype
Appartement (m³)","Naar woningtype Tussenwoning (m³)","Naar woningtype Hoekwoning (m³)","Naar woningtype Twee-onder-één-kap-woning (m³)","Naar woningtype Vrijstaande woning (m³)","Naar eigendom Huurwoning (m³)","Naar eigendom Eigen woning (m³)","Gemiddeld aardgasverbruik Percentage woningen met stadsverwarming (%)","Onderwijs Onderwijssoort
Leerlingen po (aantal)","Onderwijssoort Leerlingen vo (incl. vavo) (aantal)","Onderwijssoort Studenten mbo (excl. extranei) (aantal)","Onderwijssoort Studenten hbo (aantal)","Onderwijssoort Studenten wo (aantal)","Hoogst behaald onderwijsniveau Basisonderwijs, vmbo, mbo1 (aantal)","Hoogst behaald onderwijsniveau Havo, vwo, mbo2-4 (aantal)","Hoogst behaald onderwijsniveau Hbo, wo (aantal)","Arbeid Nettoarbeidsparticipatie (%)","Arbeid Onderverdeling werkenden
Percentage werknemers (%)","Onderverdeling werkenden Percentage zelfstandigen (%)","Inkomen Inkomen van personen
Aantal inkomensontvangers   (aantal)","Inkomen van personen Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)","Inkomen van personen Gemiddeld inkomen per inwoner  (x 1 000 euro)","Inkomen van personen 40% personen met laagste inkomen (%)","Inkomen van personen 20% personen met hoogste inkomen (%)","Inkomen van huishoudens Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)","Inkomen van huishoudens 40% huishoudens met laagste inkomen (%)","Inkomen van huishoudens 20% huishoudens met hoogste inkomen (%)","Inkomen van huishoudens Huishoudens met een laag inkomen (%)","Inkomen van huishoudens Huish. onder of rond sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 110% van sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 120% van sociaal minimum (%)","Inkomen van huishoudens Mediaan vermogen van particuliere huish. (x 1 000 euro)","Sociale zekerheid Personen per soort uitkering; Bijstand (aantal)","Personen per soort uitkering; AO (aantal)","Personen per soort uitkering; WW (aantal)","Personen per soort uitkering; AOW (aantal)","Zorg Jongeren met jeugdzorg in natura (aantal)","Percentage jongeren met jeugdzorg (%)","Wmo-cliënten (aantal)","Wmo-cliënten relatief (per 1 000 inwoners)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen totaal (aantal)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen naar activiteit
A Landbouw, bosbouw en visserij (aantal)","Bedrijfsvestigingen naar activiteit B-F Nijverheid en energie (aantal)","Bedrijfsvestigingen naar activiteit G+I Handel en horeca (aantal)","Bedrijfsvestigingen naar activiteit H+J Vervoer, informatie en communicatie (aantal)","Bedrijfsvestigingen naar activiteit K-L Financiële diensten, onroerend goed (aantal)","Bedrijfsvestigingen naar activiteit M-N Zakelijke dienstverlening (aantal)","Bedrijfsvestigingen naar activiteit O-Q Overheid, onderwijs en zorg (aantal)","Bedrijfsvestigingen naar activiteit R-U Cultuur, recreatie, overige diensten (aantal)","Motorvoertuigen Personenauto's
Personenauto's totaal (aantal)","Personenauto's Personenauto's; brandstoftype
Personenauto's; brandstof benzine (aantal)","Personenauto's; brandstoftype Personenauto's; overige brandstof (aantal)","Personenauto's Personenauto's per huishouden (per huishouden)","Personenauto's Personenauto's naar oppervlakte (per km²)","Motorvoertuigen Motorfietsen (aantal)","Nabijheid voorzieningen Afstand tot huisartsenpraktijk (km)","Afstand tot grote supermarkt (km)","Afstand tot kinderdagverblijf (km)","Nabijheid voorzieningen Basisonderwijs
Afstand tot school (km)","Basisonderwijs Scholen binnen 3 km (aantal)","Oppervlakte Oppervlakte totaal (ha)","Oppervlakte land (ha)","Oppervlakte water (ha)","Postcode Meest voorkomende postcode (code)","Dekkingspercentage (code)","Stedelijkheid Mate van stedelijkheid (code)","Omgevingsadressendichtheid (per km²)"
"Nederland","Nederland","Land","NL00",".","17.811.291","8.850.309","8.960.982","2.727.377","2.190.344","4.507.646","4.784.757","3.601.167","8.851.656","6.709.548","1.386.843","863.244","12.978.154","1.617.454","3.215.683","12.978.154","604.926","1.451.261","1.012.528","1.764.422","164.487","9","169.521","10","8.270.244","3.266.042","2.358.933","2.645.269","2,1","529","8.125.229","368","64","36","96","4","57","43","28","14","0","81","19","2.500","1.820","2.500","2.660","3.020","3.850","1.910","2.930","820","580","790","920","1.050","1.340","660","950","6,8","1.466.730","956.630","468.600","460.430","343.880","3.550.110","5.564.320","4.390.900","71","83","17","14.348.700","39,7","32,7","40,0","20,0","38,3","40,0","20,0","3,8","6,5","9,7","12,2","133,3","400.280","768.100","141.950","3.256.970","485.100","10,9","1.247.750","70","2.358.605","80.045","336.575","393.385","179.900","177.825","543.000","390.805","257.070","8.917.105","6.992.290","1.924.815","1,1","265","690.725","1,1","1,0","0,7","0,8","9,9","4.154.337","3.364.723","789.614",".",".","2","2.055"
"Aa en Hunze","Aa en Hunze","Gemeente","GM1680","1","25.724","12.820","12.904","3.456","2.587","4.604","7.919","7.158","10.389","11.754","1.948","1.633","23.542","974","1.208","23.542","457","526","517","682","187","7","307","12","11.327","3.318","4.424","3.585","2,2","93","11.428","343","91","9","96","4","75","25","20","5","0","87","13","2.890","1.660","1.990","2.290","2.600","3.510","2.000","3.180","1.160","720","870","990","1.050","1.370","920","1.230",".","1.890","1.310","680","510","130","4.480","8.440","6.070","70","81","19","21.300","38,8","32,8","40,1","19,7","38,9","31,9","22,5","3,0","4,4","7,0","9,1","237,3","350","1.100","190","6.530","630","11,2","1.875","73","3.180","300","385","495","145","215","685","600","355","15.405","11.360","4.050","1,4","56","1.795","2,4","2,2","1,1","1,2","1,8","27.887","27.606","281",".",".","5","285"
"Wijk 00 Annen","Aa en Hunze","Wijk","WK168000","1","3.605","1.755","1.845","505","370","625","1.120","980","1.440","1.670","265","225","3.360","100","140","3.360","65","60","40","80","30","8","30","8","1.585","450","605","530","2,3","246","1.647","342","90","10","96","4","75","25","19","6","0","87","13","2.680","1.380","1.870","2.350","2.700","3.430","1.630","3.040","1.110","690","890","1.000","1.080","1.360","870","1.200",".","260","220","100","90","20","530","1.200","920","72","82","18","3.000","40,6","34,3","38,3","22,0",".","28,9","24,6","1,7","3,1","5,3","7,8","244,1","40","110","20","920","85","10,6","255","71","405","20","50","65","15","35","95","80","45","2.130","1.625","505","1,3","145","225","0,9","0,9","0,5","0,8","2,5","1.478","1.465","13",".",".","5","396"
"Annen","Aa en Hunze","Buurt","BU16800000","1","3.450","1.680","1.775","495","355","615","1.055","935","1.395","1.585","255","220","3.220","100","135","3.220","65","55","35","75","25","8","30","8","1.520","440","575","515","2,3","1.369","1.584","333","90","10","96","4","74","26","20","6","0","88","12","2.630","1.380","1.870","2.350","2.700","3.350","1.620","2.980","1.100","690","890","1.000","1.080","1.340","870","1.180",".","260","210","100","90","20","510","1.160","870","71","83","17","2.900","39,9","33,7","38,6","21,3",".","29,6","23,6","1,5","3,1","5,3","7,9","233,9","40","110","20","880","85","10,8","250","73","375","15","50","65","10","35","85","75","40","2.030","1.555","480","1,3","806","210","0,8","0,8","0,5","0,8","2,5","252","252","0","9468","1","5","410"
"Aalsmeer","Aalsmeer","Gemeente","GM0358","1","33.063","16.371","16.692","5.339","4.236","7.397","9.835","6.256","16.207","13.223","2.124","1.509","24.622","3.792","4.649","24.622","1.141","2.107","2.651","2.542","238","7","298","9","14.199","4.716","3.884","5.599","2,3","1.645","13.460","494","78","22","96","4","65","35","24","12","0","64","36","2.770","1.770","2.670","2.790","3.460","4.120","2.040","3.170","940","560","840","1.010","1.190","1.530","770","1.030",".","2.810","2.280","800","760","400","6.690","10.320","7.620","78","83","17","26.800","43,6","36,0","37,5","24,0","44,5","32,8","29,6","3,1","4,2","5,9","8,0","279,6","330","950","260","5.680","1.045","11,8","1.855","56","5.065","115","715","1.040","425","550","1.185","580","450","17.035","14.075","2.965","1,2","848","1.425","0,9","0,8","0,6","0,8","3,9","3.229","2.010","1.219",".",".","4","954"
"Wijk 00 Aalsmeer","Aalsmeer","Wijk","WK035800","1","13.395","6.515","6.875","1.840","1.560","2.995","3.735","3.260","6.280","5.235","995","875","10.165","1.570","1.660","10.165","470","740","1.100","915","115","8","215","16","6.100","2.280","1.805","2.020","2,1","1.908","5.951","466","72","28","95","5","59","41","24","17","0","74","26","2.580","1.810","2.490","2.660","3.370","4.030","1.920","3.020","950","600","900","1.060","1.190","1.610","800","1.050",".","960","700","290","290","140","2.790","4.220","2.750","78","82","18","11.000","42,1","35,6","38,5","22,0","44,1","36,6","25,0","3,6","4,9","7,2","9,5","253,2","160","400","90","2.970","345","11,1","1.025","76","2.195","25","290","490","185","240","500","240","225","6.935","5.755","1.180","1,1","988","515","0,9","0,7","0,6","0,8","3,5","1.440","702","739",".",".","3","1.048"
"Centrum","Aalsmeer","Buurt","BU03580000","1","3.030","1.475","1.555","390","290","755","760","835","1.380","1.165","195","295","2.310","410","310","2.310","110","125","300","185","25","8","100","32","1.410","580","435","400","2,0","5.707","1.471","467","41","59","95","5","57","43","20","23","0","51","49","2.500","1.800","3.040","3.120","3.650","4.290","1.800","3.020","840","620","880","1.090","1.160","1.680","690","960",".","190","140","40","60","40","630","820","630","79","79","21","2.400",".","39,5","35,6","27,1",".","36,2","28,0","2,5","3,2","5,7","8,5","308,8","10","50","30","780","60","9,8","285","93","580","5","60","135","50","75","140","65","50","1.440","1.195","245","1,0","2.709","120","0,8","0,5","0,5","0,6","3,0","61","53","8","1431","1","3","1.114"
"Bron: CBS."
