"Wijken en buurten","Regioaanduiding Gemeentenaam (naam)","Soort regio (omschrijving)","Codering (code)","Indelingswijziging wijken en buurten (code)","Bevolking Aantal inwoners (aantal)","Bevolking Geslacht
Mannen (aantal)","Geslacht Vrouwen (aantal)","Leeftijdsgroepen 0 tot 15 jaar (aantal)","Leeftijdsgroepen 15 tot 25 jaar (aantal)","Leeftijdsgroepen 25 tot 45 jaar (aantal)","Leeftijdsgroepen 45 tot 65 jaar (aantal)","Leeftijdsgroepen 65 jaar of ouder (aantal)","Burgerlijke staat Ongehuwd (aantal)","Burgerlijke staat Gehuwd (aantal)","Burgerlijke staat Gescheiden (aantal)","Burgerlijke staat Verweduwd (aantal)","Personen met een migratieachtergrond Westers totaal (aantal)","Personen met een migratieachtergrond Niet-westers
Niet-westers totaal (aantal)","Niet-westers Marokko (aantal)","Niet-westers Nederlandse Antillen en Aruba (aantal)","Niet-westers Suriname (aantal)","Niet-westers Turkije (aantal)","Niet-westers Overig niet-westers (aantal)","Geboorte en sterfte Geboorte totaal (aantal)","Geboorte en sterfte Geboorte relatief (per 1 000 inwoners)","Geboorte en sterfte Sterfte totaal (aantal)","Geboorte en sterfte Sterfte relatief (per 1 000 inwoners)","Particuliere huishoudens Huishoudens totaal (aantal)","Particuliere huishoudens Eenpersoonshuishoudens (aantal)","Particuliere huishoudens Huishoudens zonder kinderen (aantal)","Particuliere huishoudens Huishoudens met kinderen (aantal)","Particuliere huishoudens Gemiddelde huishoudensgrootte (aantal)","Bevolking Bevolkingsdichtheid (aantal inwoners per km²)","Wonen Woningvoorraad (aantal)","Gemiddelde WOZ-waarde van woningen (x 1 000 euro)","Wonen Woningen naar type
Percentage eengezinswoning (%)","Woningen naar type Percentage meergezinswoning (%)","Woningen naar bewoning Percentage bewoond (%)","Woningen naar bewoning Percentage onbewoond (%)","Woningen naar eigendom Koopwoningen (%)","Woningen naar eigendom Huurwoningen
Huurwoningen totaal (%)","Huurwoningen In bezit woningcorporatie (%)","Huurwoningen In bezit overige verhuurders (%)","Woningen naar eigendom Eigendom onbekend (%)","Woningen naar bouwjaar Bouwjaar voor 2000 (%)","Woningen naar bouwjaar Bouwjaar vanaf 2000 (%)","Energie Gemiddeld elektriciteitsverbruik
Gemiddeld elektriciteitsverbruik totaal (kWh)","Gemiddeld elektriciteitsverbruik Naar woningtype
Appartement (kWh)","Naar woningtype Tussenwoning (kWh)","Naar woningtype Hoekwoning (kWh)","Naar woningtype Twee-onder-één-kap-woning (kWh)","Naar woningtype Vrijstaande woning (kWh)","Naar eigendom Huurwoning (kWh)","Naar eigendom Eigen woning (kWh)","Gemiddeld aardgasverbruik Gemiddeld aardgasverbruik totaal (m³)","Gemiddeld aardgasverbruik Naar woningtype
Appartement (m³)","Naar woningtype Tussenwoning (m³)","Naar woningtype Hoekwoning (m³)","Naar woningtype Twee-onder-één-kap-woning (m³)","Naar woningtype Vrijstaande woning (m³)","Naar eigendom Huurwoning (m³)","Naar eigendom Eigen woning (m³)","Gemiddeld aardgasverbruik Percentage woningen met stadsverwarming (%)","Opleidingsniveau Opleidingsniveau laag (aantal)","Opleidingsniveau middelbaar (aantal)","Opleidingsniveau hoog (aantal)","Arbeid Nettoarbeidsparticipatie (%)","Arbeid Onderverdeling werkenden
Percentage werknemers (%)","Onderverdeling werkenden Percentage zelfstandigen (%)","Inkomen Inkomen van personen
Aantal inkomensontvangers   (aantal)","Inkomen van personen Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)","Inkomen van personen Gemiddeld inkomen per inwoner  (x 1 000 euro)","Inkomen van personen 40% personen met laagste inkomen (%)","Inkomen van personen 20% personen met hoogste inkomen (%)","Inkomen van huishoudens Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)","Inkomen van huishoudens 40% huishoudens met laagste inkomen (%)","Inkomen van huishoudens 20% huishoudens met hoogste inkomen (%)","Inkomen van huishoudens Huishoudens met een laag inkomen (%)","Inkomen van huishoudens Huish. onder of rond sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 110% van sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 120% van sociaal minimum (%)","Inkomen van huishoudens Mediaan vermogen van particuliere huish. (x 1 000 euro)","Sociale zekerheid Personen per soort uitkering; Bijstand (aantal)","Personen per soort uitkering; AO (aantal)","Personen per soort uitkering; WW (aantal)","Personen per soort uitkering; AOW (aantal)","Zorg Jongeren met jeugdzorg in natura (aantal)","Percentage jongeren met jeugdzorg (%)","Wmo-cliënten (aantal)","Wmo-cliënten relatief (per 1 000 inwoners)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen totaal (aantal)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen naar activiteit
A Landbouw, bosbouw en visserij (aantal)","Bedrijfsvestigingen naar activiteit B-F Nijverheid en energie (aantal)","Bedrijfsvestigingen naar activiteit G+I Handel en horeca (aantal)","Bedrijfsvestigingen naar activiteit H+J Vervoer, informatie en communicatie (aantal)","Bedrijfsvestigingen naar activiteit K-L Financiële diensten, onroerend goed (aantal)","Bedrijfsvestigingen naar activiteit M-N Zakelijke dienstverlening (aantal)","Bedrijfsvestigingen naar activiteit R-U Cultuur, recreatie, overige diensten (aantal)","Motorvoertuigen Personenauto's
Personenauto's totaal (aantal)","Personenauto's Personenauto's; brandstoftype
Personenauto's; brandstof benzine (aantal)","Personenauto's; brandstoftype Personenauto's; overige brandstof (aantal)","Personenauto's Personenauto's per huishouden (per huishouden)","Personenauto's Personenauto's naar oppervlakte (per km²)","Motorvoertuigen Motorfietsen (aantal)","Nabijheid voorzieningen Afstand tot huisartsenpraktijk (km)","Afstand tot grote supermarkt (km)","Afstand tot kinderdagverblijf (km)","Nabijheid voorzieningen Basisonderwijs
Afstand tot school (km)","Basisonderwijs Scholen binnen 3 km (aantal)","Oppervlakte Oppervlakte totaal (ha)","Oppervlakte land (ha)","Oppervlakte water (ha)","Postcode Meest voorkomende postcode (code)","Dekkingspercentage (code)","Stedelijkheid Mate van stedelijkheid (code)","Omgevingsadressendichtheid (per km²)"
"Nederland","Nederland","Land","NL00",".","17.282.163","8.581.086","8.701.077","2.739.819","2.131.944","4.255.450","4.840.946","3.314.004","8.374.133","6.706.554","1.343.033","858.443","1.774.271","2.311.867","402.492","161.265","353.909","409.877","984.324","169.680","10","151.885","9","7.924.691","3.037.622","2.282.297","2.604.772","2,1","513","7.814.912","250","64","36","96","4","57","42","29","13","0","84","16","2.730","1.970","2.830","2.950","3.270","3.950","2.120","3.180","1.180","770","1.100","1.320","1.540","2.040","930","1.370","5,9","3.746.290","5.475.310","3.988.760","69","84","16","13.702.300","33,4","27,1","40,0","20,0","31,6","40,0","20,0","7,5","6,8","10,2","13,0","52,4","431.360","735.350","230.180","3.065.800","437.345","9,9","1.166.485","68","1.646.160","75.980","258.780","339.210","144.620","162.990","443.265","221.315","8.442.980","6.737.850","1.705.135","1,1","251","646.045","1,0","0,9","0,6","0,7","10,9","4.154.338","3.367.109","787.228",".",".","2","1.994"
"Aa en Hunze","Aa en Hunze","Gemeente","GM1680",".","25.386","12.659","12.727","3.462","2.610","4.347","8.354","6.613","10.096","11.825","1.844","1.621","1.075","632","13","33","65","15","506","176","7","280","11","11.152","3.254","4.336","3.562","2,2","92","11.257","241","92","8","95","5","74","26","20","6","0","89","11","3.030","1.860","2.220","2.510","2.880","3.530","2.260","3.320","1.740","910","1.260","1.430","1.520","2.130","1.380","1.890",".","4.810","8.650","5.790","67","80","20","20.700","32,6","27,2","40,1","19,6","32,4","32,5","22,4","5,0","4,7","7,2","9,5","127,8","400","1.090","380","6.130","605","10,5","1.605","63","2.330","290","335","475","145","190","570","325","14.420","10.920","3.495","1,3","52","1.700","2,4","2,1","1,2","1,2","1,8","27.887","27.609","279",".",".","5","280"
"Wijk 00 Annen","Aa en Hunze","Wijk","WK168000","1","3.595","1.750","1.845","570","345","630","1.150","900","1.480","1.650","240","230","125","75","0","5","5","0","70","20","5","35","9","1.560","430","585","540","2,3","245","1.615","238","91","9","96","4","74","26","20","6","0","88","12","2.980","1.650","2.310","2.700","3.090","3.560","2.150","3.360","1.620","790","1.300","1.450","1.550","2.020","1.300","1.780",".","550","1.290","810","70","82","18","2.900","34,9","28,5","37,0","22,2","34,4","29,8","24,6","3,5","3,8","6,1","8,6","135,1","40","100","60","830","85","9,7","220","61","290","20","45","65","10","30","80","40","1.985","1.565","420","1,3","135","185","0,9","0,9","0,5","0,8","2,6","1.478","1.466","13",".",".","5","393"
"Annen","Aa en Hunze","Buurt","BU16800000","1","3.450","1.675","1.770","555","330","610","1.085","860","1.425","1.560","230","225","125","75","0","0","0","0","70","20","6","30","9","1.490","420","555","520","2,3","1.367","1.552","229","90","10","96","4","73","27","21","6","0","89","11","2.930","1.650","2.310","2.700","3.090","3.480","2.140","3.310","1.590","790","1.300","1.450","1.540","1.980","1.290","1.740",".","530","1.230","780","70","83","17","2.800","34,1","27,7","37,2","21,5","33,2","30,5","23,6","3,4","3,9","6,3","8,8","125,7","30","100","50","800","80","9,4","215","62","260","10","40","60","10","30","75","35","1.885","1.490","395","1,3","747","180","0,8","0,8","0,5","0,8","2,6","252","252","0","9468","1","5","407"
"Aalsmeer","Aalsmeer","Gemeente","GM0358",".","31.728","15.694","16.034","5.722","3.679","7.073","9.424","5.830","15.052","13.060","2.097","1.519","3.546","2.736","440","130","483","140","1.543","236","7","270","9","13.089","3.790","3.839","5.460","2,4","1.577","13.091","337","78","22","96","4","65","35","24","12","0","66","34","3.080","1.960","3.070","3.160","3.680","4.310","2.320","3.500","1.320","730","1.160","1.400","1.680","2.240","1.110","1.440",".","7.900","9.620","5.990","76","83","17","25.000","37,9","30,3","35,3","24,7","38,3","29,0","31,8","3,5","3,6","5,4","7,4","151,3","250","910","380","5.440","595","6,8",".",".","3.795","130","545","940","330","535","920","390","16.795","14.655","2.140","1,3","835","1.450","0,9","0,8","0,7","0,8","4,0","3.229","2.012","1.217",".",".","4","921"
"Wijk 00 Aalsmeer","Aalsmeer","Wijk","WK035800","1","12.650","6.130","6.515","1.880","1.400","2.700","3.565","3.095","5.715","5.070","940","925","1.510","1.005","165","40","135","65","605","95","8","170","14","5.625","1.930","1.765","1.930","2,2","1.803","5.729","320","72","28","95","5","59","41","24","17","0","77","23","2.900","2.080","2.910","2.990","3.550","4.250","2.270","3.370","1.310","770","1.250","1.470","1.680","2.300","1.130","1.480",".","2.950","3.910","2.360","74","82","18","10.200","36,3","30,2","37,2","22,0","37,7","33,9","26,7","4,1","4,3","6,5","8,8","144,5","130","380","130","2.930","190","6,3",".",".","1.690","35","200","485","140","245","390","195","6.560","5.795","765","1,2","935","505","0,9","0,7","0,7","0,8","3,7","1.440","701","739",".",".","3","1.004"
"Centrum","Aalsmeer","Buurt","BU03580000","1","2.725","1.280","1.440","370","235","670","665","780","1.190","1.045","170","315","360","155","10","10","20","20","100","25","8","85","32","1.265","490","420","350","2,1","5.077","1.356","330","43","57","93","7","58","42","19","22","0","54","46","2.760","2.130","3.180","3.340","3.820","4.400","2.240","3.200","1.120","790","1.160","1.480","1.600","2.270","980","1.280",".","600","680","620","76","81","19","2.100","40,6","34,0","34,4","27,2","40,3","34,6","30,1","2,9","3,9","5,9","8,7","179,8","10","40","30","750","30","5,4",".",".","420","5","40","120","25","80","110","45","1.245","1.110","130","1,0","2.317","110","0,8","0,6","0,4","0,5","3,0","61","54","7","1431","1","3","1.051"
"Bron: CBS."
