"Wijken en buurten","Regioaanduiding Gemeentenaam (naam)","Soort regio (omschrijving)","Codering (code)","Indelingswijziging gemeente, wijk, buurt (code)","Bevolking Aantal inwoners (aantal)","Bevolking Geslacht
Mannen (aantal)","Geslacht Vrouwen (aantal)","Leeftijdsgroepen 0 tot 15 jaar (aantal)","Leeftijdsgroepen 15 tot 25 jaar (aantal)","Leeftijdsgroepen 25 tot 45 jaar (aantal)","Leeftijdsgroepen 45 tot 65 jaar (aantal)","Leeftijdsgroepen 65 jaar of ouder (aantal)","Burgerlijke staat Ongehuwd (aantal)","Burgerlijke staat Gehuwd (aantal)","Burgerlijke staat Gescheiden (aantal)","Burgerlijke staat Verweduwd (aantal)","Bevolking naar herkomst Herkomstland
Nederland (aantal)","Herkomstland Europa (exclusief Nederland) (aantal)","Herkomstland Buiten Europa (aantal)","Geboren in Nederland Nederland (aantal)","Geboren in Nederland Europa (exclusief Nederland) (aantal)","Geboren in Nederland Buiten Europa (aantal)","Geboren buiten Nederland Europa (exclusief Nederland) (aantal)","Geboren buiten Nederland Buiten Europa (aantal)","Geboorte en sterfte Geboorte totaal (aantal)","Geboorte en sterfte Geboorte relatief (per 1 000 inwoners)","Geboorte en sterfte Sterfte totaal (aantal)","Geboorte en sterfte Sterfte relatief (per 1 000 inwoners)","Particuliere huishoudens Huishoudens totaal (aantal)","Particuliere huishoudens Eenpersoonshuishoudens (aantal)","Particuliere huishoudens Huishoudens zonder kinderen (aantal)","Particuliere huishoudens Huishoudens met kinderen (aantal)","Particuliere huishoudens Gemiddelde huishoudensgrootte (aantal)","Bevolking Bevolkingsdichtheid (aantal inwoners per km²)","Wonen en vastgoed Woningvoorraad (aantal)","Nieuwbouw woningen (aantal)","Niet-woningvoorraad (aantal)","Nieuwbouw niet-woningen (aantal)","Gemiddelde WOZ-waarde van woningen (x 1 000 euro)","Wonen en vastgoed Woningen naar type
Percentage eengezinswoning (%)","Woningen naar type Percentage tussenwoning (eengezins) (%)","Woningen naar type Percentage hoekwoning (eengezins) (%)","Woningen naar type Percentage twee-onder-één-kap-woning (ee (%)","Woningen naar type Percentage vrijstaande woning (eengezins (%)","Woningen naar type Percentage meergezinswoning (%)","Wonen en vastgoed Onbewoonde woningen (%)","Wonen en vastgoed Woningen naar eigendom
Koopwoningen (%)","Woningen naar eigendom Huurwoningen
Huurwoningen totaal (%)","Huurwoningen In bezit woningcorporatie (%)","Huurwoningen In bezit overige verhuurders (%)","Woningen naar bouwjaar Bouwjaar meer dan tien jaar geleden (%)","Woningen naar bouwjaar Bouwjaar afgelopen tien jaar (%)","Energie Gemiddelde elektriciteitslevering
Gemiddelde elektriciteitslevering totaal (kWh)","Gemiddelde elektriciteitslevering Naar woningtype
Appartement (kWh)","Naar woningtype Tussenwoning (kWh)","Naar woningtype Hoekwoning (kWh)","Naar woningtype Twee-onder-één-kap-woning (kWh)","Naar woningtype Vrijstaande woning (kWh)","Naar eigendom Huurwoning (kWh)","Naar eigendom Eigen woning (kWh)","Gemiddeld aardgasverbruik Gemiddeld aardgasverbruik totaal (m³)","Gemiddeld aardgasverbruik Naar woningtype
Appartement (m³)","Naar woningtype Tussenwoning (m³)","Naar woningtype Hoekwoning (m³)","Naar woningtype Twee-onder-één-kap-woning (m³)","Naar woningtype Vrijstaande woning (m³)","Naar eigendom Huurwoning (m³)","Naar eigendom Eigen woning (m³)","Gemiddeld aardgasverbruik Percentage woningen met stadsverwarming (%)","Onderwijs Onderwijssoort
Leerlingen po (aantal)","Onderwijssoort Leerlingen vo (incl. vavo) (aantal)","Onderwijssoort Studenten mbo (excl. extranei) (aantal)","Onderwijssoort Studenten hbo (aantal)","Onderwijssoort Studenten wo (aantal)","Hoogst behaald onderwijsniveau Basisonderwijs, vmbo, mbo1 (aantal)","Hoogst behaald onderwijsniveau Havo, vwo, mbo2-4 (aantal)","Hoogst behaald onderwijsniveau Hbo, wo (aantal)","Arbeid Nettoarbeidsparticipatie (%)","Arbeid Onderverdeling werkenden
Percentage werknemers (%)","Onderverdeling werkenden Percentage zelfstandigen (%)","Inkomen Inkomen van personen
Aantal inkomensontvangers   (aantal)","Inkomen van personen Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)","Inkomen van personen Gemiddeld inkomen per inwoner  (x 1 000 euro)","Inkomen van personen 40% personen met laagste inkomen (%)","Inkomen van personen 20% personen met hoogste inkomen (%)","Inkomen van huishoudens Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)","Inkomen van huishoudens 40% huishoudens met laagste inkomen (%)","Inkomen van huishoudens 20% huishoudens met hoogste inkomen (%)","Inkomen van huishoudens Huishoudens met een laag inkomen (%)","Inkomen van huishoudens Huish. onder of rond sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 110% van sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 120% van sociaal minimum (%)","Inkomen van huishoudens Mediaan vermogen van particuliere huish. (x 1 000 euro)","Sociale zekerheid Personen per soort uitkering; Bijstand (aantal)","Personen per soort uitkering; AO (aantal)","Personen per soort uitkering; WW (aantal)","Personen per soort uitkering; AOW (aantal)","Zorg Jongeren met jeugdzorg in natura (aantal)","Percentage jongeren met jeugdzorg (%)","Wmo-cliënten (aantal)","Wmo-cliënten relatief (per 1 000 inwoners)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen totaal (aantal)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen naar activiteit
A Landbouw, bosbouw en visserij (aantal)","Bedrijfsvestigingen naar activiteit B-F Nijverheid en energie (aantal)","Bedrijfsvestigingen naar activiteit G+I Handel en horeca (aantal)","Bedrijfsvestigingen naar activiteit H+J Vervoer, informatie en communicatie (aantal)","Bedrijfsvestigingen naar activiteit K-L Financiële diensten, onroerend goed (aantal)","Bedrijfsvestigingen naar activiteit M-N Zakelijke dienstverlening (aantal)","Bedrijfsvestigingen naar activiteit O-Q Overheid, onderwijs en zorg (aantal)","Bedrijfsvestigingen naar activiteit R-U Cultuur, recreatie, overige diensten (aantal)","Motorvoertuigen Personenauto's
Personenauto's totaal (aantal)","Personenauto's Personenauto's; brandstoftype
Personenauto's; brandstof benzine (aantal)","Personenauto's; brandstoftype Personenauto's; overige brandstof (aantal)","Personenauto's Personenauto's per huishouden (per huishouden)","Personenauto's Personenauto's naar oppervlakte (per km²)","Motorvoertuigen Motorfietsen (aantal)","Nabijheid voorzieningen Afstand tot huisartsenpraktijk (km)","Afstand tot grote supermarkt (km)","Afstand tot kinderdagverblijf (km)","Nabijheid voorzieningen Basisonderwijs
Afstand tot school (km)","Basisonderwijs Scholen binnen 3 km (aantal)","Oppervlakte Oppervlakte totaal (ha)","Oppervlakte land (ha)","Oppervlakte water (ha)","Postcode Meest voorkomende postcode (code)","Dekkingspercentage (code)","Stedelijkheid Mate van stedelijkheid (code)","Omgevingsadressendichtheid (per km²)"
"Nederland","Nederland","Land","NL00",".","17.942.942","8.920.768","9.022.174","2.714.040","2.202.159","4.586.399","4.763.116","3.677.228","8.955.190","6.733.642","1.390.540","863.570","12.941.748","1.677.093","3.324.101","12.941.748","608.406","1.477.849","1.068.687","1.846.252",".",".",".",".","8.374.404","3.340.560","2.385.910","2.647.934","2,1","533","8.204.049","69.129","1.196.025","16.171","379","63","29","13","9","13","37","4","57","43","28","14","92","8",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.461.440","945.030","466.830","449.940","341.760",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.507.795","81.760","367.630","419.330","199.050","125.130","620.575","422.690","271.635","9.067.395","6.950.880","2.116.515","1,1","269","703.315",".",".",".",".",".","4.154.337","3.364.723","789.614",".",".","2","2.070"
"Aa en Hunze","Aa en Hunze","Gemeente","GM1680","1","25.845","12.867","12.978","3.490","2.505","4.712","7.770","7.368","10.416","11.851","1.944","1.634","23.453","1.062","1.330","23.453","456","551","606","779",".",".",".",".","11.410","3.333","4.479","3.598","2,2","94","11.500","60","2.439","41","347","91","10","8","23","49","9","4","75","25","19","5","96","4",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.900","1.300","700","470","150",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.280","295","400","520","170","150","765","610","380","15.705","11.435","4.265","1,4","57","1.805",".",".",".",".",".","27.887","27.606","281",".",".","5","283"
"Wijk 00 Annen","Aa en Hunze","Wijk","WK168000","1","3.590","1.750","1.845","495","355","640","1.085","1.015","1.445","1.645","275","230","3.345","100","150","3.345","65","65","35","90",".",".",".",".","1.585","455","615","515","2,2","245","1.663","2","110","0","344","90","16","11","24","38","10","4","75","25","19","7","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","250","190","90","90","20",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","405","20","50","70","20","20","100","80","45","2.145","1.615","530","1,3","146","225",".",".",".",".",".","1.478","1.465","13",".",".","5","395"
"Annen","Aa en Hunze","Buurt","BU16800000","1","3.455","1.680","1.770","480","345","630","1.030","975","1.400","1.570","265","220","3.210","95","150","3.210","60","60","35","85",".",".",".",".","1.525","440","580","500","2,2","1.369","1.600","1","100","0","335","90","16","12","25","36","11","4","74","26","20","7","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","250","180","90","80","20",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","375","15","50","65","20","20","90","75","40","2.040","1.540","500","1,3","809","210",".",".",".",".",".","252","252","0","9468","1","5","410"
"Aalsmeer","Aalsmeer","Gemeente","GM0358","1","33.279","16.456","16.823","5.240","4.303","7.515","9.858","6.363","16.403","13.232","2.124","1.520","24.391","3.935","4.953","24.391","1.158","2.184","2.777","2.769",".",".",".",".","14.405","4.895","3.909","5.601","2,3","1.656","13.698","31","2.481","40","491","77","37","17","8","14","23","4","64","36","24","12","93","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.670","2.250","830","770","390",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.420","115","780","1.125","495","375","1.390","645","500","17.195","13.780","3.415","1,2","855","1.410",".",".",".",".",".","3.229","2.010","1.219",".",".","4","978"
"Wijk 00 Aalsmeer","Aalsmeer","Wijk","WK035800","1","13.585","6.620","6.960","1.850","1.600","3.145","3.730","3.260","6.490","5.220","995","885","10.155","1.640","1.795","10.155","480","795","1.150","1.000",".",".",".",".","6.260","2.435","1.800","2.035","2,1","1.935","6.181","22","1.100","1","460","70","34","16","9","11","30","5","58","42","25","17","88","12",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","960","680","300","280","140",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.355","25","310","520","215","175","595","280","235","7.070","5.700","1.370","1,1","1.007","520",".",".",".",".",".","1.440","702","739",".",".","3","1.099"
"Centrum","Aalsmeer","Buurt","BU03580000","1","2.990","1.465","1.530","365","290","735","770","835","1.375","1.135","190","285","2.255","435","305","2.255","110","115","320","190",".",".",".",".","1.435","630","425","380","2,0","5.627","1.502","0","217","0","466","41","15","7","9","10","59","6","57","42","20","23","81","19",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","180","140","50","50","30",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","600","0","60","145","50","55","160","70","55","1.440","1.155","285","1,0","2.713","115",".",".",".",".",".","61","53","8","1431","1","3","1.154"
"Bron: CBS."
