"Wijken en buurten","Regioaanduiding Gemeentenaam (naam)","Soort regio (omschrijving)","Codering (code)","Indelingswijziging wijken en buurten (code)","Bevolking Aantal inwoners (aantal)","Bevolking Geslacht
Mannen (aantal)","Geslacht Vrouwen (aantal)","Leeftijdsgroepen 0 tot 15 jaar (aantal)","Leeftijdsgroepen 15 tot 25 jaar (aantal)","Leeftijdsgroepen 25 tot 45 jaar (aantal)","Leeftijdsgroepen 45 tot 65 jaar (aantal)","Leeftijdsgroepen 65 jaar of ouder (aantal)","Burgerlijke staat Ongehuwd (aantal)","Burgerlijke staat Gehuwd (aantal)","Burgerlijke staat Gescheiden (aantal)","Burgerlijke staat Verweduwd (aantal)","Personen met een migratieachtergrond Westers totaal (aantal)","Personen met een migratieachtergrond Niet-westers
Niet-westers totaal (aantal)","Niet-westers Marokko (aantal)","Niet-westers Nederlandse Antillen en Aruba (aantal)","Niet-westers Suriname (aantal)","Niet-westers Turkije (aantal)","Niet-westers Overig niet-westers (aantal)","Geboorte en sterfte Geboorte totaal (aantal)","Geboorte en sterfte Geboorte relatief (per 1 000 inwoners)","Geboorte en sterfte Sterfte totaal (aantal)","Geboorte en sterfte Sterfte relatief (per 1 000 inwoners)","Particuliere huishoudens Huishoudens totaal (aantal)","Particuliere huishoudens Eenpersoonshuishoudens (aantal)","Particuliere huishoudens Huishoudens zonder kinderen (aantal)","Particuliere huishoudens Huishoudens met kinderen (aantal)","Particuliere huishoudens Gemiddelde huishoudensgrootte (aantal)","Bevolking Bevolkingsdichtheid (aantal inwoners per km²)","Wonen Woningvoorraad (aantal)","Gemiddelde WOZ-waarde van woningen (x 1 000 euro)","Wonen Woningen naar type
Percentage eengezinswoning (%)","Woningen naar type Percentage meergezinswoning (%)","Woningen naar bewoning Percentage bewoond (%)","Woningen naar bewoning Percentage onbewoond (%)","Woningen naar eigendom Koopwoningen (%)","Woningen naar eigendom Huurwoningen
Huurwoningen totaal (%)","Huurwoningen In bezit woningcorporatie (%)","Huurwoningen In bezit overige verhuurders (%)","Woningen naar eigendom Eigendom onbekend (%)","Woningen naar bouwjaar Bouwjaar voor 2000 (%)","Woningen naar bouwjaar Bouwjaar vanaf 2000 (%)","Energie Gemiddeld elektriciteitsverbruik
Gemiddeld elektriciteitsverbruik totaal (kWh)","Gemiddeld elektriciteitsverbruik Naar woningtype
Appartement (kWh)","Naar woningtype Tussenwoning (kWh)","Naar woningtype Hoekwoning (kWh)","Naar woningtype Twee-onder-één-kap-woning (kWh)","Naar woningtype Vrijstaande woning (kWh)","Naar eigendom Huurwoning (kWh)","Naar eigendom Eigen woning (kWh)","Gemiddeld aardgasverbruik Gemiddeld aardgasverbruik totaal (m³)","Gemiddeld aardgasverbruik Naar woningtype
Appartement (m³)","Naar woningtype Tussenwoning (m³)","Naar woningtype Hoekwoning (m³)","Naar woningtype Twee-onder-één-kap-woning (m³)","Naar woningtype Vrijstaande woning (m³)","Naar eigendom Huurwoning (m³)","Naar eigendom Eigen woning (m³)","Gemiddeld aardgasverbruik Percentage woningen met stadsverwarming (%)","Arbeid Nettoarbeidsparticipatie (%)","Arbeid Onderverdeling werkenden
Percentage werknemers (%)","Onderverdeling werkenden Percentage zelfstandigen (%)","Inkomen Inkomen van personen
Aantal inkomensontvangers   (aantal)","Inkomen van personen Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)","Inkomen van personen Gemiddeld inkomen per inwoner  (x 1 000 euro)","Inkomen van personen 40% personen met laagste inkomen (%)","Inkomen van personen 20% personen met hoogste inkomen (%)","Inkomen van huishoudens Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)","Inkomen van huishoudens 40% huishoudens met laagste inkomen (%)","Inkomen van huishoudens 20% huishoudens met hoogste inkomen (%)","Inkomen van huishoudens Huishoudens met een laag inkomen (%)","Inkomen van huishoudens Huish. onder of rond sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 110% van sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 120% van sociaal minimum (%)","Inkomen van huishoudens Mediaan vermogen van particuliere huish. (x 1 000 euro)","Sociale zekerheid Personen per soort uitkering; Bijstand (aantal)","Personen per soort uitkering; AO (aantal)","Personen per soort uitkering; WW (aantal)","Personen per soort uitkering; AOW (aantal)","Zorg Jongeren met jeugdzorg in natura (aantal)","Percentage jongeren met jeugdzorg (%)","Wmo-cliënten (aantal)","Wmo-cliënten relatief (per 1 000 inwoners)","Criminaliteit Totaal diefstal uit woning/schuur/e.d. (per 1 000 inwoners)","Vernieling, misdrijf tegen openbare orde (per 1 000 inwoners)","Gewelds- en seksuele misdrijven (per 1 000 inwoners)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen totaal (aantal)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen naar activiteit
A Landbouw, bosbouw en visserij (aantal)","Bedrijfsvestigingen naar activiteit B-F Nijverheid en energie (aantal)","Bedrijfsvestigingen naar activiteit G+I Handel en horeca (aantal)","Bedrijfsvestigingen naar activiteit H+J Vervoer, informatie en communicatie (aantal)","Bedrijfsvestigingen naar activiteit K-L Financiële diensten, onroerend goed (aantal)","Bedrijfsvestigingen naar activiteit M-N Zakelijke dienstverlening (aantal)","Bedrijfsvestigingen naar activiteit R-U Cultuur, recreatie, overige diensten (aantal)","Motorvoertuigen Personenauto's
Personenauto's totaal (aantal)","Personenauto's Personenauto's; brandstoftype
Personenauto's; brandstof benzine (aantal)","Personenauto's; brandstoftype Personenauto's; overige brandstof (aantal)","Personenauto's Personenauto's per huishouden (per huishouden)","Personenauto's Personenauto's naar oppervlakte (per km²)","Motorvoertuigen Motorfietsen (aantal)","Nabijheid voorzieningen Afstand tot huisartsenpraktijk (km)","Afstand tot grote supermarkt (km)","Afstand tot kinderdagverblijf (km)","Nabijheid voorzieningen Basisonderwijs
Afstand tot school (km)","Basisonderwijs Scholen binnen 3 km (aantal)","Oppervlakte Oppervlakte totaal (ha)","Oppervlakte land (ha)","Oppervlakte water (ha)","Postcode Meest voorkomende postcode (code)","Dekkingspercentage (code)","Stedelijkheid Mate van stedelijkheid (code)","Omgevingsadressendichtheid (per km²)"
"Nederland","Nederland","Land","NL00",".","17.181.084","8.527.041","8.654.043","2.762.624","2.116.813","4.222.614","4.839.917","3.239.116","8.287.607","6.710.175","1.324.626","858.676","1.729.016","2.242.843","396.539","157.114","351.681","404.459","933.050","168.525","10","153.363","9","7.857.914","2.997.617","2.265.409","2.594.888","2,2","510","7.740.984","230","64","36","96","4","57","42","29","13","1","85","15","2.790","2.010","2.910","3.020","3.340","3.970","2.170","3.250","1.270","830","1.190","1.420","1.670","2.210","1.010","1.480",".","68","84","16","13.551.800","32,3","26,1","40,0","20,0","29,5","40,0","20,0","7,9","7,0","10,6","13,4","39,4","455.140","733.600","280.280","3.037.060","423.390","9,5","1.106.205","64",".",".",".","1.573.885","75.485","241.595","332.970","136.630","158.145","419.070","209.985","8.373.245","6.649.495","1.723.750","1,1","249","661.640","1,0","0,9","0,6","0,7","10,9","4.154.338","3.367.109","787.228",".",".","2","1.978"
"Aa en Hunze","Aa en Hunze","Gemeente","GM1680",".","25.390","12.666","12.724","3.531","2.571","4.398","8.396","6.494","10.041","11.905","1.803","1.641","1.064","580","8","30","63","9","470","162","6","283","11","11.073","3.150","4.336","3.587","2,2","92","11.165","229","92","8","95","5","73","25","18","8","2","90","10","3.140","1.940","2.310","2.580","2.970","3.660","2.310","3.450","1.900","1.000","1.370","1.550","1.650","2.330","1.490","2.060",".","66","80","20","20.500","31,8","26,3","40,2","19,7","31,1","32,2","22,7","5,4","4,7","7,5","9,8","118,5","410","1.120","470","6.090","620","10,7","1.375","54","2","2","3","2.230","290","315","475","130","170","530","315","14.410","10.940","3.470","1,3","52","1.745","2,5","2,1","1,1","1,2","1,8","27.887","27.609","279",".",".","5","279"
"Wijk 00 Annen","Aa en Hunze","Wijk","WK168000","1","3.560","1.730","1.825","570","335","610","1.175","860","1.440","1.660","220","240","115","70","0","5","0","0","60","25","7","35","10","1.540","415","590","530","2,3","243","1.595","233","91","9","96","4","73","23","16","8","4","89","11","3.130","1.690","2.430","2.740","3.240","3.760","2.200","3.510","1.750","880","1.430","1.580","1.680","2.170","1.410","1.920",".","68","82","18","2.900","33,9","27,5","37,0","22,7","32,5","29,6","25,9","3,7","4,3","6,8","9,2","117,7","40","100","70","810","90","10,3","180","51","1","2","2","275","25","40","65","10","25","70","40","1.980","1.555","425","1,3","135","185","1,0","0,9","0,5","0,8","2,4","1.478","1.466","13",".",".","5","388"
"Annen","Aa en Hunze","Buurt","BU16800000","1","3.415","1.660","1.755","560","325","595","1.105","830","1.395","1.570","215","230","115","65","0","5","5","0","55","25","8","35","11","1.470","405","560","510","2,3","1.354","1.532","226","91","9","96","4","72","24","16","8","4","90","10","3.070","1.690","2.430","2.740","3.240","3.670","2.200","3.460","1.730","880","1.430","1.580","1.680","2.140","1.410","1.890",".","68","83","17","2.700","33,1","26,7","37,4","21,7","31,8","30,4","24,6","3,6","4,3","6,9","9,3","109,8","30","100","70","780","85","10,0","180","53","1","2","2","250","15","40","60","10","25","65","35","1.890","1.490","395","1,3","749","180","0,9","0,8","0,5","0,7","2,4","252","252","0","9468","1","5","403"
"Aalsmeer","Aalsmeer","Gemeente","GM0358",".","31.499","15.596","15.903","5.753","3.564","7.112","9.304","5.766","14.858","13.092","2.037","1.512","3.507","2.555","437","127","473","130","1.388","281","9","279","9","12.976","3.733","3.833","5.410","2,4","1.566","12.888","304","79","21","96","4","64","34","24","10","2","67","33","3.130","1.970","3.130","3.230","3.730","4.320","2.390","3.540","1.410","760","1.250","1.500","1.800","2.420","1.200","1.540",".","75","83","17","24.700","36,8","29,3","35,1","24,8","34,7","28,8","31,2","3,7","3,7","5,6","7,7","122,6","270","890","460","5.470","555","6,4",".",".","2","3","4","3.610","125","505","940","310","505","860","370","16.805","14.585","2.225","1,3","835","1.510","0,9","0,8","0,7","0,8","3,9","3.229","2.012","1.217",".",".","4","904"
"Wijk 00 Aalsmeer","Aalsmeer","Wijk","WK035800","1","12.380","6.025","6.360","1.815","1.355","2.620","3.505","3.090","5.505","5.045","915","920","1.485","915","155","35","120","55","540","120","9","200","16","5.510","1.875","1.755","1.880","2,2","1.765","5.530","296","73","27","95","5","59","37","24","13","4","80","20","3.000","2.110","3.020","3.070","3.660","4.370","2.340","3.470","1.420","810","1.350","1.600","1.800","2.500","1.240","1.600",".","73","82","18","10.000","35,2","29,2","37,3","22,0","33,7","34,0","25,5","4,3","4,5","7,0","9,4","118,3","140","370","160","2.940","185","6,4",".",".","3","5","4","1.600","35","195","475","125","220","375","180","6.470","5.690","780","1,2","923","520","0,9","0,6","0,8","0,8","3,5","1.440","701","739",".",".","4","966"
"Centrum","Aalsmeer","Buurt","BU03580000","1","2.535","1.200","1.335","335","205","625","610","765","1.100","965","165","310","355","140","10","10","15","15","85","25","10","85","32","1.210","510","395","305","2,0","4.732","1.259","321","39","61","94","6","55","35","14","21","10","58","42","2.830","2.110","3.370","3.460","4.110","4.260","2.200","3.290","1.220","820","1.340","1.730","1.730","2.370","1.020","1.380",".","76","81","19","2.000","39,6","33,1","33,7","26,5","34,4","36,1","26,5","3,7","4,6","6,7","9,7","137,1","10","30","30","750","35","7,1",".",".","4","5","4","385","5","35","120","25","70","90","40","1.185","1.050","135","1,0","2.209","105","0,8","0,5","0,5","0,5","3,0","61","54","7","1431","1","4","991"
"Bron: CBS."
